titleId,primaryTitle,originalTitle,averageRating,numVotes,startYear,runtimeMinutes,genres,foreignFlag,directors,primaryName
tt0360717,King Kong,King Kong,7.2,449226,2005,187,"Action,Adventure,Romance",false,nm0001392,Peter Jackson
tt0361127,The Woodsman,The Woodsman,7.1,35477,2004,87,Drama,false,nm0975026,Nicole Kassell
tt0361411,Bride & Prejudice,Bride & Prejudice,6.2,21722,2004,122,"Comedy,Drama,Musical",false,nm0149446,Gurinder Chadha
tt0361596,Fahrenheit 9/11,Fahrenheit 9/11,7.5,132584,2004,122,"Documentary,Drama,War",false,nm0601619,Michael Moore
tt0361668,Gozu,Gokudô kyôfu dai-gekijô: Gozu,6.9,12785,2003,129,"Crime,Drama,Horror",true,nm0586281,Takashi Miike
tt0361748,Inglourious Basterds,Inglourious Basterds,8.4,1596222,2009,153,"Adventure,Drama,War",false,nm0000233,Quentin Tarantino
tt0361862,The Machinist,The Machinist,7.6,417525,2004,101,"Drama,Thriller",false,nm0026442,Brad Anderson
tt0362004,Palindromes,Palindromes,6.7,12901,2004,100,"Comedy,Drama",false,nm0001754,Todd Solondz
tt0362225,Tell No One,Ne le dis à personne,7.5,58155,2006,131,"Crime,Drama,Mystery",true,nm0133899,Guillaume Canet
tt0362227,The Terminal,The Terminal,7.4,497960,2004,128,"Comedy,Drama,Romance",false,nm0000229,Steven Spielberg
tt0362269,Kinsey,Kinsey,7.1,51095,2004,118,"Biography,Drama,Romance",false,nm0174374,Bill Condon
tt0362270,The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou,7.2,211744,2004,119,"Action,Adventure,Comedy",false,nm0027572,Wes Anderson
tt0362526,Criminal,Criminal,6.4,10895,2004,87,"Comedy,Crime,Drama",false,nm0414423,Gregory Jacobs
tt0362590,Employee of the Month,Employee of the Month,6.1,10448,2004,97,"Comedy,Drama",false,nm0745861,Mitch Rouse
tt0363163,Downfall,Der Untergang,8.2,376788,2004,156,"Biography,Drama,History",true,nm0386570,Oliver Hirschbiegel
tt0363226,The Blind Swordsman: Zatoichi,Zatôichi,7.5,51699,2003,116,"Action,Comedy,Crime",true,nm0001429,Takeshi Kitano
tt0363473,Beyond the Sea,Beyond the Sea,6.7,15580,2004,118,"Biography,Drama,Music",false,nm0000228,Kevin Spacey
tt0363547,Dawn of the Dead,Dawn of the Dead,7.3,273871,2004,101,"Action,Horror",false,nm0811583,Zack Snyder
tt0363589,Elephant,Elephant,7.1,97709,2003,81,"Crime,Drama,Thriller",false,nm0001814,Gus Van Sant
